user,classification
its_jtb,62_change_semantic change_time_semantic
its_jtb,39_authorship_authorship attribution_attribution_author
its_jtb,80_essay_scoring_aes_essay scoring
its_jtb,69_readability_complexity_assessment_features
its_jtb,90_emoji_emojis_sentiment_message
its_jtb,90_emoji_emojis_sentiment_message
its_jtb,46_agent_games_environment_instructions
its_jtb,90_emoji_emojis_sentiment_message
its_jtb,10_news_fake_fake news_stance
its_jtb,42_story_stories_story generation_generation
its_jtb,94_indo_languages_indo european_names
its_jtb,9_hate_hate speech_offensive_speech
its_jtb,45_paraphrase_paraphrases_paraphrase generation_paraphrasing
its_jtb,59_metaphor_literal_figurative_metaphors
its_jtb,69_readability_complexity_assessment_features
its_jtb,49_poetry_poems_lyrics_poem
its_jtb,14_event_temporal_events_event extraction
its_jtb,46_agent_games_environment_instructions
its_jtb,27_argument_arguments_argumentation_argumentative
its_jtb,9_hate_hate speech_offensive_speech
its_jtb,96_agents_emergent_communication_referential
its_jtb,90_emoji_emojis_sentiment_message
its_jtb,90_emoji_emojis_sentiment_message
its_jtb,67_financial_stock_market_price
its_jtb,47_covid_covid 19_19_tweets
its_jtb,72_sign_gloss_language_signed
its_jtb,105_job_resume_skills_skill
its_jtb,90_emoji_emojis_sentiment_message
its_jtb,72_sign_gloss_language_signed
its_jtb,49_poetry_poems_lyrics_poem
its_jtb,49_poetry_poems_lyrics_poem
its_jtb,105_job_resume_skills_skill
its_jtb,37_style_style transfer_transfer_text style
its_jtb,77_multimodal_visual_image_translation
its_jtb,15_emotion_emotions_multimodal_emotion recognition
its_jtb,47_covid_covid 19_19_tweets
its_jtb,76_translation_machine translation_machine_smt
ShenMofongo,67_financial_stock_market_price
ShenMofongo,38_question_question generation_questions_answer
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,90_emoji_emojis_sentiment_message
ShenMofongo,15_emotion_emotions_multimodal_emotion recognition
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,54_empathetic_emotion_emotional_empathy
ShenMofongo,90_emoji_emojis_sentiment_message
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,42_story_stories_story generation_generation
ShenMofongo,10_news_fake_fake news_stance
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,49_poetry_poems_lyrics_poem
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,54_empathetic_emotion_emotional_empathy
ShenMofongo,64_political_media_news_bias
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,9_hate_hate speech_offensive_speech
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,90_emoji_emojis_sentiment_message
ShenMofongo,98_moral_ethical_norms_values
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,68_table_tables_tabular_reasoning
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,49_poetry_poems_lyrics_poem
ShenMofongo,55_depression_mental_health_mental health
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,96_agents_emergent_communication_referential
ShenMofongo,88_active learning_active_al_learning
ShenMofongo,86_ad_alzheimer_alzheimer disease_disease
ShenMofongo,78_geographic_location_geolocation_geo
ShenMofongo,47_covid_covid 19_19_tweets
ShenMofongo,81_crisis_disaster_traffic_tweets
ShenMofongo,5_sentiment_sentiment analysis_aspect_analysis
ShenMofongo,81_crisis_disaster_traffic_tweets
JenniferSalt4,90_emoji_emojis_sentiment_message
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,81_crisis_disaster_traffic_tweets
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,81_crisis_disaster_traffic_tweets
JenniferSalt4,5_sentiment_sentiment analysis_aspect_analysis
JenniferSalt4,64_political_media_news_bias
JenniferSalt4,9_hate_hate speech_offensive_speech
JenniferSalt4,78_geographic_location_geolocation_geo
JenniferSalt4,90_emoji_emojis_sentiment_message
JenniferSalt4,104_gender_translation_bias_gender bias
JenniferSalt4,10_news_fake_fake news_stance
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,37_style_style transfer_transfer_text style
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,76_translation_machine translation_machine_smt
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,104_gender_translation_bias_gender bias
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,90_emoji_emojis_sentiment_message
JenniferSalt4,9_hate_hate speech_offensive_speech
JenniferSalt4,1_speech_asr_speech recognition_recognition
JenniferSalt4,10_news_fake_fake news_stance
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,65_medical_qa_question_questions
JenniferSalt4,64_political_media_news_bias
JenniferSalt4,64_political_media_news_bias
JenniferSalt4,78_geographic_location_geolocation_geo
JenniferSalt4,81_crisis_disaster_traffic_tweets
JenniferSalt4,64_political_media_news_bias
JenniferSalt4,15_emotion_emotions_multimodal_emotion recognition
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,47_covid_covid 19_19_tweets
JenniferSalt4,64_political_media_news_bias
JenniferSalt4,104_gender_translation_bias_gender bias
JenniferSalt4,104_gender_translation_bias_gender bias
JenniferSalt4,9_hate_hate speech_offensive_speech
JenniferSalt4,98_moral_ethical_norms_values
CRBernard,57_citation_scientific_papers_citations
CRBernard,95_patent_claim_claim generation_chemical
CRBernard,27_argument_arguments_argumentation_argumentative
CRBernard,45_paraphrase_paraphrases_paraphrase generation_paraphrasing
CRBernard,64_political_media_news_bias
CRBernard,37_style_style transfer_transfer_text style
CRBernard,104_gender_translation_bias_gender bias
CRBernard,47_covid_covid 19_19_tweets
CRBernard,98_moral_ethical_norms_values
CRBernard,47_covid_covid 19_19_tweets
CRBernard,103_drug_social_social media_media
CRBernard,90_emoji_emojis_sentiment_message
CRBernard,20_bias_gender_biases_gender bias
CRBernard,54_empathetic_emotion_emotional_empathy
CRBernard,64_political_media_news_bias
CRBernard,104_gender_translation_bias_gender bias
CRBernard,98_moral_ethical_norms_values
CRBernard,38_question_question generation_questions_answer
CRBernard,64_political_media_news_bias
CRBernard,83_annotation_tools_linguistic_resources
CRBernard,78_geographic_location_geolocation_geo
CRBernard,10_news_fake_fake news_stance
CRBernard,50_image_captioning_captions_visual
CRBernard,64_political_media_news_bias
CRBernard,28_sarcasm_humor_sarcastic_detection
CRBernard,78_geographic_location_geolocation_geo
CRBernard,39_authorship_authorship attribution_attribution_author
CRBernard,64_political_media_news_bias
CRBernard,10_news_fake_fake news_stance
CRBernard,47_covid_covid 19_19_tweets
CRBernard,28_sarcasm_humor_sarcastic_detection
CRBernard,64_political_media_news_bias
CRBernard,42_story_stories_story generation_generation
BenefitsWSU,54_empathetic_emotion_emotional_empathy
BenefitsWSU,47_covid_covid 19_19_tweets
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,28_sarcasm_humor_sarcastic_detection
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,86_ad_alzheimer_alzheimer disease_disease
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,47_covid_covid 19_19_tweets
BenefitsWSU,103_drug_social_social media_media
BenefitsWSU,103_drug_social_social media_media
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,103_drug_social_social media_media
BenefitsWSU,86_ad_alzheimer_alzheimer disease_disease
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,103_drug_social_social media_media
BenefitsWSU,65_medical_qa_question_questions
BenefitsWSU,78_geographic_location_geolocation_geo
BenefitsWSU,103_drug_social_social media_media
BenefitsWSU,83_annotation_tools_linguistic_resources
BenefitsWSU,59_metaphor_literal_figurative_metaphors
BenefitsWSU,47_covid_covid 19_19_tweets
BenefitsWSU,65_medical_qa_question_questions
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,55_depression_mental_health_mental health
BenefitsWSU,105_job_resume_skills_skill
BenefitsWSU,47_covid_covid 19_19_tweets
BenefitsWSU,105_job_resume_skills_skill
BenefitsWSU,105_job_resume_skills_skill
BenefitsWSU,86_ad_alzheimer_alzheimer disease_disease
BenefitsWSU,72_sign_gloss_language_signed
BenefitsWSU,6_clinical_medical_biomedical_notes
BenefitsWSU,103_drug_social_social media_media
AdedePaor,9_hate_hate speech_offensive_speech
AdedePaor,103_drug_social_social media_media
AdedePaor,81_crisis_disaster_traffic_tweets
