created_at,favorite_count,full_text,user
Tue May 07 16:02:39 +0000 2024,0,Fucking hell I feel old,its_jtb
Tue May 07 15:10:16 +0000 2024,0,"Respectfully SQA, what was that textual analysis???",its_jtb
Tue May 07 15:09:48 +0000 2024,2,Advacned English exam done and dusted https://t.co/mH8Kyznv9U,its_jtb
Tue May 07 07:40:33 +0000 2024,1,Advanced higher english today https://t.co/b4TYeKdYDf,its_jtb
Mon May 06 21:30:00 +0000 2024,1,Brother said https://t.co/mcjECTPkFD,its_jtb
Mon May 06 21:02:22 +0000 2024,0,https://t.co/zOpiQrQVgW,its_jtb
Mon May 06 20:32:46 +0000 2024,1,holy shit what a player https://t.co/mTxBzgJL5C,its_jtb
Mon May 06 20:27:40 +0000 2024,0,"fuck it, they are winning the league you're in trouble @MwepuMagic",its_jtb
Mon May 06 19:43:11 +0000 2024,0,I still firmly believe this,its_jtb
Mon May 06 18:06:02 +0000 2024,1,No one tell this man about the blue lagoon,its_jtb
Mon May 06 16:48:24 +0000 2024,2,Ayr or Ardrossan and its not close,its_jtb
Mon May 06 15:39:16 +0000 2024,1,"American sports needs to bin off its chants. No more ""Defence du du du Defence"" and more "" your sister is you mother, your father is your brother, you all shag one another, the Indiana family""",its_jtb
Mon May 06 14:15:06 +0000 2024,0,That might be the worst like to quote ratio ever Holy shit,its_jtb
Mon May 06 12:39:56 +0000 2024,1,https://t.co/dUNJKpNb5d,its_jtb
Mon May 06 10:53:12 +0000 2024,1,I'm kinda cooked for advanced english,its_jtb
Mon May 06 09:17:50 +0000 2024,3,Drake went hard on this new track 🔥🔥🔥 https://t.co/jgrgbKDXju,its_jtb
Sun May 05 23:58:19 +0000 2024,1,"All things considered, Spurs losing 4 on the spin then beating City to hand their rivals the title would be the most spursy thing possible",its_jtb
Sun May 05 21:41:45 +0000 2024,2,Go on lando son,its_jtb
Sun May 05 20:20:48 +0000 2024,6,This is what every non old firm side think it's like when leading https://t.co/XIMhNrVk10,its_jtb
Sun May 05 19:51:07 +0000 2024,1,1 of 15 is fucking diabolical,its_jtb
Sun May 05 19:03:36 +0000 2024,2,I apologise mr Donovan Mitchell,its_jtb
Sun May 05 17:33:56 +0000 2024,1,Cavs once again said https://t.co/5AcFEUHIYB,its_jtb
Sun May 05 14:57:58 +0000 2024,2,I'm convinced this man was made in the lab fir twitter interactions,its_jtb
Sun May 05 14:26:16 +0000 2024,1,"This sounds like a weird analogy but does Chelsea not remind anyone of the Dallas Mavericks a little bit. Over reliant on one star they gambled and hit on (Luka, Plamer) and then gambled on a bunch of players (KP,Grant, Literally every chelsea signing) #CHEWHU",its_jtb
Sun May 05 14:17:51 +0000 2024,1,why the fuck is this tweet getting botted by women names Autumn and @asuthe4 https://t.co/5gHxBY2GXp,its_jtb
